fixed points found: 422
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': -0.340364} | theta=['2', '1.435e-27', '-2'] | relevant=2 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 0.106213} | theta=['2', '1.136e-27', '-2'] | relevant=2 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 0.553063} | theta=['2', '9.776e-28', '-2'] | relevant=2 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 1.446937} | theta=['2', '9.776e-28', '-2'] | relevant=2 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 1.893787} | theta=['2', '1.136e-27', '-2'] | relevant=2 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 2.340364} | theta=['2', '1.435e-27', '-2'] | relevant=2 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': -0.300466} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 2.300466} | theta=['2', '9.408e-25', '-2'] | relevant=2 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 0.013098} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 0.517811} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
